x y z
0.3291884521 0.8999513184 0.0011102295 
0.6820724854 0.3697653320 0.2263552002 
0.1190500244 0.9397770264 0.4909234619 
0.0675066895 0.9245947510 0.0607408691 
0.0228513672 0.4533533936 0.3248962158 
0.8322143311 0.8437730469 0.8438361328 
0.5010586670 0.0879565918 0.9532898438 
0.1702997559 0.3686002441 0.2066160156 
0.0892876953 0.4832738525 0.1640191406 
0.0017236572 0.5334098633 0.1461018799 
0.5364855469 0.9870095947 0.8791003174 
0.2743029785 0.1860667236 0.4574321045 
0.9575245850 0.5930616455 0.1185710693 
0.5986409424 0.1597186279 0.8729825928 
0.0810077881 0.4365473633 0.7182942871 
0.2580669678 0.8328383545 0.1209454590 
0.1217082520 0.7528849365 0.5334915039 
0.4441089355 0.1906187500 0.9616215088 
0.2247962646 0.2023506104 0.7429787842 
0.4691513184 0.8399791992 0.3366879883 
0.1184824463 0.2441504883 0.7197676025 
0.6941674072 0.4189110352 0.1163756836 
0.8744576416 0.2781975098 0.8384750732 
0.4030333008 0.9301687988 0.1857396484 
0.0772230469 0.0244495850 0.3960887207 
0.0555191895 0.7022733643 0.8959942383 
0.0091431396 0.0499397705 0.1293806885 
0.1715939453 0.2252197998 0.8307260742 
0.9709574219 0.1677939453 0.0743128418 
0.7870804199 0.5535491699 0.0997776367 
0.1807955566 0.9696525635 0.5126045410 
0.4494540771 0.4462863770 0.3513787354 
0.1023201416 0.6688566162 0.1909630859 
0.9948034424 0.8669812500 0.5473316895 
0.1145755371 0.0103315430 0.5904592773 
0.9738955566 0.4789358398 0.8396266846 
0.1651998779 0.2596454834 0.4205171875 
0.7784094482 0.5505857178 0.9730665283 
0.1027397461 0.3753349365 0.2032735840 
0.1681910645 0.7927190186 0.5635991211 
0.3849295898 0.7261381836 0.0840359619 
0.0555040039 0.0379700195 0.4712083984 
0.9580615234 0.6458547119 0.9545619141 
0.1920092285 0.3056615967 0.7704938477 
0.3396386475 0.9129884277 0.4962523926 
0.6724798584 0.1819204590 0.7915132324 
0.0476189453 0.1117065186 0.8741381592 
0.4767159668 0.1371297607 0.9525928223 
0.1646972412 0.0524134033 0.0747784912 
0.6941726318 0.5193702637 0.0476269043 
0.9691737549 0.0684005127 0.9445458496 
0.6327972168 0.4455669678 0.1219010986 
0.3162451904 0.1100387207 0.3719187988 
0.2709329834 0.1341142334 0.8239255615 
0.2501045898 0.3125533691 0.9493790039 
0.3685801758 0.3247834229 0.0881856689 
0.8672566162 0.1083725342 0.7980814209 
0.8490142578 0.2322444580 0.2434995850 
0.1128094482 0.4126538330 0.9960480225 
0.1118644775 0.4885565918 0.6973148926 
